page_id,wikidot_id,slug,status,claimed_total,fetched_total,checksum_expected,checksum_actual,checksum_ok,error,scanned_at
2022,46494468,bbztt-s-personnel-file,failed,5,,5,,f,"HttpStatusError: HTTP 503 for https://scp-wiki-cn.wikidot.com/ajax-module-connector.php :: <html><body> <div style=""text-align: center""> <h1>Wikidot is temporarily unavailable (503)</h1> <p>Sorry, for some reason our servers cannot display the page you are requesting.</p> <p>If the problem",2026-07-28 18:46:32.647951+08
4039,1331404297,erhuanmimeng,failed,27,,23,,f,WhoRated 同一身份 wikidot:6685812 同时出现 +/−，无法决定当前态,2026-07-28 18:49:40.685649+08
4121,1308442052,ex-aid,failed,53,,47,,f,WhoRated 同一身份 wikidot:6343343 同时出现 +/−，无法决定当前态,2026-07-28 18:49:46.038383+08
7119,1312315311,gongkuanlvxing,failed,30,,20,,f,WhoRated 同一身份 wikidot:6351300 同时出现 +/−，无法决定当前态,2026-07-28 18:53:48.780953+08
7973,47084607,innerwish,failed,24,,20,,f,WhoRated 同一身份 wikidot:3292243 同时出现 +/−，无法决定当前态,2026-07-28 18:54:58.43184+08
9124,1307045568,log-of-anomalous-items-cn:00570,failed,31,,29,,f,WhoRated 同一身份 wikidot:6940667 同时出现 +/−，无法决定当前态,2026-07-28 18:56:36.339671+08
10637,1437429264,nareum-tarot-01-magician,failed,5,,3,,f,WhoRated 同一身份 wikidot:8267758 同时出现 +/−，无法决定当前态,2026-07-28 18:59:54.636562+08
16053,694906379,scp-2756,failed,4,,2,,f,WhoRated 同一身份 wikidot:5228319 同时出现 +/−，无法决定当前态,2026-07-28 19:07:57.55887+08
18087,835224688,scp-4710,failed,18,,14,,f,WhoRated 同一身份 deleted:6441099 同时出现 +/−，无法决定当前态,2026-07-28 19:10:52.089774+08
21931,1305725646,scp-cn-1369,failed,81,,49,,f,WhoRated 同一身份 deleted:5651123 同时出现 +/−，无法决定当前态,2026-07-28 19:18:30.704385+08
22239,66804409,scp-cn-164,failed,64,,26,,f,WhoRated 同一身份 wikidot:3694873 同时出现 +/−，无法决定当前态,2026-07-28 19:19:00.790604+08
22322,1329430891,scp-cn-1711,failed,46,,32,,f,WhoRated 同一身份 wikidot:3978938 同时出现 +/−，无法决定当前态,2026-07-28 19:19:12.224865+08
27136,1311985602,tachibana-yuuki-s-personnel-file,failed,43,,39,,f,WhoRated 同一身份 wikidot:7275798 同时出现 +/−，无法决定当前态,2026-07-28 19:27:09.84739+08
27280,1306014513,that-is-too-easy,failed,30,,16,,f,WhoRated 同一身份 wikidot:4485997 同时出现 +/−，无法决定当前态,2026-07-28 19:27:19.818912+08
29151,1449953947,wanderers:ancient-wooden-case,failed,21,,11,,f,WhoRated 同一身份 wikidot:8742522 同时出现 +/−，无法决定当前态,2026-07-28 19:29:54.570796+08
31624,1305049697,concerto,failed,214,,144,,f,WhoRated 同一身份 wikidot:7772730 同时出现 +/−，无法决定当前态,2026-07-28 19:35:11.606547+08
31688,1331024622,embracechaos,failed,111,,95,,f,WhoRated 同一身份 wikidot:4142571 同时出现 +/−，无法决定当前态,2026-07-28 19:35:21.092534+08
31862,1449056115,i-ll-never-be-apart-from-you,failed,360,,300,,f,WhoRated 同一身份 wikidot:10148329 同时出现 +/−，无法决定当前态,2026-07-28 19:35:56.372379+08
31901,1420829355,kawaii-o5-3,failed,2066,,1810,,f,WhoRated 同一身份 wikidot:9701672 同时出现 +/−，无法决定当前态,2026-07-28 19:35:58.002043+08
32099,53273436,phage-s-personnel-file,failed,62,,60,,f,WhoRated 同一身份 wikidot:7275798 同时出现 +/−，无法决定当前态,2026-07-28 19:36:36.825174+08
32479,381175085,scp-cn-1995,failed,128,,60,,f,WhoRated 同一身份 wikidot:5379370 同时出现 +/−，无法决定当前态,2026-07-28 19:38:04.609105+08
32589,1331831089,scp-cn-2801,failed,3239,,3143,,f,WhoRated 同一身份 wikidot:6422109 同时出现 +/−，无法决定当前态,2026-07-28 19:38:29.845824+08
32608,72813706,scp-cn-296,failed,904,,750,,f,WhoRated 同一身份 wikidot:6453919 同时出现 +/−，无法决定当前态,2026-07-28 19:38:30.502898+08
32752,43928124,scp-cn-586,failed,334,,328,,f,WhoRated 同一身份 wikidot:3657876 同时出现 +/−，无法决定当前态,2026-07-28 19:39:09.075153+08
101328,1467208212,scp-cn-4999,failed,1191,,1103,,f,WhoRated 同一身份 wikidot:4921516 同时出现 +/−，无法决定当前态,2026-07-28 19:42:33.571088+08
104742,1468595219,wanderers:fog,failed,49,,17,,f,WhoRated 同一身份 wikidot:9915035 同时出现 +/−，无法决定当前态,2026-07-28 19:46:00.990877+08
105063,1468671428,log-of-anomalous-items-cn:01846,failed,13,,11,,f,WhoRated 同一身份 wikidot:6256177 同时出现 +/−，无法决定当前态,2026-07-28 19:46:19.826502+08
338,534817563,cliche-con-2019,partial,4,3,4,3,f,is_complete=false,2026-07-28 18:43:59.99963+08
379,1459088215,cn40kdrweddell,partial,36,35,32,31,f,is_complete=false,2026-07-28 18:44:04.746102+08
435,52657475,10th-noodle,partial,36,35,18,17,f,is_complete=false,2026-07-28 18:44:09.538416+08
542,45075672,2016summer-ggpincus,partial,17,16,11,10,f,is_complete=false,2026-07-28 18:44:20.034813+08
652,1174013730,4-50-from-paddington,partial,23,22,15,14,f,is_complete=false,2026-07-28 18:44:31.18154+08
734,1454109677,aacer,partial,99,98,91,92,f,is_complete=false,2026-07-28 18:44:41.855417+08
769,1459756027,aboutwenquancheng,partial,27,26,25,24,f,is_complete=false,2026-07-28 18:44:42.269774+08
793,1460073632,ac12txzn,partial,56,55,54,53,f,is_complete=false,2026-07-28 18:44:46.214359+08
965,54740538,ai-qing-zi-bei-yu-cheng-nuo,partial,45,44,23,22,f,is_complete=false,2026-07-28 18:45:00.730528+08
1035,1445512538,allen3723-s-personnel-file,partial,17,16,17,16,f,is_complete=false,2026-07-28 18:45:06.18239+08
1166,1331357314,ambrose-youxia,partial,108,107,104,103,f,is_complete=false,2026-07-28 18:45:17.721603+08
1286,999820961,anne-blyrn,partial,60,59,50,49,f,is_complete=false,2026-07-28 18:45:31.559451+08
1291,1324415703,an-normal-mission,partial,74,73,66,65,f,is_complete=false,2026-07-28 18:45:31.656259+08
1460,1449921132,ared-hub,partial,94,93,94,93,f,is_complete=false,2026-07-28 18:45:46.415662+08
1793,47237100,a-site-19-christmas-carol,partial,23,22,23,22,f,is_complete=false,2026-07-28 18:46:09.755415+08
1840,1305377617,a-story-from-the-past,partial,90,91,86,87,f,去重后条数 91 ≠ claimed_total 90,2026-07-28 18:46:14.754669+08
1862,94375601,a-tale-of-the-black-king,partial,78,77,78,77,f,is_complete=false,2026-07-28 18:46:15.491418+08
2336,397126915,busuzhike,partial,13,12,11,10,f,is_complete=false,2026-07-28 18:47:05.070942+08
2370,1456499570,calculateloneliness,partial,37,36,15,14,f,is_complete=false,2026-07-28 18:47:05.833491+08
2417,1446222777,carl-ryzen,partial,35,33,33,31,f,is_complete=false,2026-07-28 18:47:11.054531+08
2490,1165196571,chao,partial,34,33,26,25,f,is_complete=false,2026-07-28 18:47:20.408384+08
2551,1312361302,children-study,partial,83,82,69,68,f,is_complete=false,2026-07-28 18:47:26.183232+08
2564,102492138,chinese-valentine-s-day,partial,64,63,62,61,f,is_complete=false,2026-07-28 18:47:26.355285+08
